shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_914339,39.633341,-106.507163,1,0
p_914339,39.633317,-106.507034,2,11.39056667
p_914339,39.633257,-106.506898,3,24.8328061
p_914339,39.633137,-106.5066,4,53.67723009
p_914339,39.633087,-106.506471,5,66.06525516
p_914339,39.63303,-106.506329,6,79.80065361
p_914339,39.632884,-106.50587,7,122.40940678
p_914339,39.63259,-106.50479,8,220.70513856
p_914339,39.632458,-106.504384,9,258.51600183
p_914339,39.632447,-106.504268,10,268.5492037
p_914339,39.632408,-106.504053,11,287.50804856
p_914339,39.632372,-106.503717,12,316.62925697
p_914339,39.63236,-106.503628,13,324.38520254
p_914339,39.632352,-106.503593,14,327.51848665
p_914339,39.632294,-106.503379,15,346.9863031
p_914339,39.632193,-106.503172,16,367.99956179
p_914339,39.632034,-106.502966,17,392.98770467
p_914339,39.631904,-106.502799,18,413.33172144
p_914339,39.631631,-106.502453,19,455.77082498
p_914339,39.631502,-106.502275,20,476.71502016
p_914339,39.631411,-106.502091,21,495.46639045
p_914339,39.631361,-106.50194,22,509.56855822
p_914339,39.631283,-106.501526,23,546.15084871
p_914339,39.631235,-106.501273,24,568.51550213
p_914339,39.631173,-106.500918,25,599.76049633
p_914339,39.631139,-106.500611,26,626.38588062
p_914339,39.631112,-106.500408,27,644.06968947
p_914339,39.63103,-106.50009,28,672.84854268
p_914339,39.630961,-106.499864,29,693.70869822
p_914339,39.630889,-106.499635,30,714.93184602
p_914339,39.630786,-106.4994,31,738.12273218
p_914339,39.630689,-106.499264,32,754.00706361
p_914339,39.630597,-106.499127,33,769.58510587
p_914339,39.630512,-106.498968,34,786.1802826
p_914339,39.630439,-106.498744,35,807.04939731
p_914339,39.630387,-106.498493,36,829.35837406
p_914339,39.630346,-106.498282,37,848.03645609
p_914339,39.630282,-106.497996,38,873.59780881
p_914339,39.630238,-106.497878,39,884.84479008
p_914339,39.630195,-106.497777,40,894.74333518
p_914339,39.630134,-106.497681,41,905.41092757
p_914339,39.630055,-106.497547,42,919.87750993
p_914339,39.630003,-106.497449,43,930.08147769
p_914339,39.62994,-106.497287,44,945.64952005
p_914339,39.629896,-106.497098,45,962.59519227
p_914339,39.629883,-106.496816,46,986.84875263
p_914339,39.62991,-106.496607,47,1005.04073829
p_914339,39.629949,-106.496471,48,1017.49380467
p_914339,39.63001,-106.49631,49,1032.88620627
p_914339,39.630073,-106.496144,50,1048.76178318
p_914339,39.63018,-106.49587,51,1075.11507772
p_914339,39.630209,-106.495747,52,1086.15492705
p_914339,39.630235,-106.495597,53,1099.35240882
p_914339,39.630244,-106.495454,54,1111.66993873
p_914339,39.63024,-106.49528,55,1126.61490251
p_914339,39.630212,-106.495114,56,1141.20157484
p_914339,39.63017,-106.494952,57,1155.87063885
p_914339,39.630132,-106.494851,58,1165.51371178
p_914339,39.63007,-106.494727,59,1178.19115075
p_914339,39.629943,-106.494548,60,1199.04755408
p_914339,39.629819,-106.494419,61,1216.71669206
p_914339,39.629587,-106.494205,62,1248.35602426
p_914339,39.629174,-106.493831,63,1304.33485628
p_914339,39.628756,-106.493462,64,1360.52629441
p_914339,39.628653,-106.493376,65,1374.13857717
p_914339,39.628604,-106.493337,66,1380.52674659
p_914339,39.628573,-106.49332,67,1384.26527269
p_914339,39.628526,-106.493306,68,1389.62020516
p_914339,39.628465,-106.493308,69,1396.39505914
p_914339,39.628437,-106.493325,70,1399.82939859
p_914339,39.628411,-106.493343,71,1403.10374569
p_914339,39.628381,-106.493364,72,1406.89123006
p_914339,39.628348,-106.493401,73,1411.74047995
p_914339,39.628316,-106.493447,74,1417.0527462
p_914339,39.62826,-106.493547,75,1427.6531589
p_914339,39.628143,-106.493788,76,1452.08402786
p_914339,39.628041,-106.493971,77,1471.45160848
p_914339,39.627967,-106.494116,78,1486.36743081
p_914339,39.627839,-106.494352,79,1511.11641683
p_914339,39.627818,-106.494386,80,1514.85237063
p_914339,39.627803,-106.494417,81,1517.99200718
p_914339,39.627791,-106.494468,82,1522.56886104
p_914339,39.627779,-106.494537,83,1528.64087825
p_914339,39.627775,-106.494604,84,1534.41032923
p_914339,39.627775,-106.494689,85,1541.7080649
p_914339,39.627763,-106.49473,86,1545.47185265
p_914339,39.627748,-106.494762,87,1548.68459523
p_914339,39.627735,-106.494792,88,1551.6371145
p_914339,39.627713,-106.494812,89,1554.62288133
p_914339,39.627692,-106.49483,90,1557.42011698
p_914339,39.627671,-106.494847,91,1560.17085068
p_914339,39.62764,-106.494888,92,1565.0939982
p_914339,39.627611,-106.494924,93,1569.55720491
p_914339,39.627591,-106.494951,94,1572.76726337
p_914339,39.62755,-106.495038,95,1581.51453879
p_914339,39.627537,-106.495092,96,1586.37024195
p_914339,39.627505,-106.495203,97,1596.54099492
p_914339,39.627495,-106.495248,98,1600.56088493
p_914339,39.627387,-106.495619,99,1634.59576269
p_914339,39.627355,-106.495696,100,1642.100916
p_914339,39.627328,-106.495766,101,1648.81700156
p_914339,39.627312,-106.495858,102,1656.91307606
p_914339,39.627312,-106.495954,103,1665.15527952
p_914339,39.62732,-106.495986,104,1668.04269128
p_914339,39.627322,-106.49601,105,1670.1151722
p_914339,39.62733,-106.496028,106,1671.8976523
p_914339,39.627342,-106.496102,107,1678.38921017
p_914339,39.627337,-106.496152,108,1682.71776854
p_914339,39.627331,-106.496194,109,1686.38474875
p_914339,39.627323,-106.496228,110,1689.43600353
p_914339,39.627297,-106.496271,111,1694.12243696
p_914339,39.627276,-106.496294,112,1697.17787034
p_914339,39.627254,-106.49633,113,1701.1173547
p_914339,39.627212,-106.49638,114,1707.45559597
p_914339,39.627193,-106.496421,115,1711.55940893
p_914339,39.627185,-106.496464,116,1715.35658154
p_914339,39.62718,-106.496526,117,1720.7085501
p_914339,39.627173,-106.496574,118,1724.90230422
p_914339,39.627166,-106.496625,119,1729.34942269
p_914339,39.627176,-106.49672,120,1737.58100694
p_914339,39.627183,-106.496769,121,1741.85915972
p_914339,39.627222,-106.496886,122,1752.79787945
p_914339,39.62725,-106.49696,123,1759.87105302
p_914339,39.627372,-106.497119,124,1779.10202962
p_914339,39.627488,-106.497278,125,1797.86973403
p_914339,39.627605,-106.497425,126,1815.98136255
p_914339,39.627836,-106.497722,127,1852.14756301
p_914339,39.628084,-106.498046,128,1891.28784336
p_914339,39.62834,-106.4984,129,1932.90018865
p_914339,39.62844,-106.49855,130,1949.90372362
p_914339,39.628553,-106.498758,131,1971.72815825
p_914339,39.62867,-106.49898,132,1994.79370425
p_914339,39.628724,-106.499116,133,2007.91925211
p_914339,39.628806,-106.499303,134,2026.37578865
p_914339,39.628867,-106.499464,135,2041.76839391
p_914339,39.628941,-106.499708,136,2064.27041504
p_914339,39.629015,-106.499965,137,2087.81498996
p_914339,39.6291,-106.50037,138,2123.84387261
p_914339,39.629137,-106.500632,139,2146.70967982
