agency_id,agency_name,agency_url,agency_timezone,agency_phone,agency_lang
100,GOBIERNO DE NAVARRA/ NAFARROAKO GOBERNUA ,http://www.nbus.navarra.es,Europe/Madrid,,es
103,AUTOBUSES JIMÉNEZ  S.L.,http://www.autobusesjimenez.com,Europe/Madrid,902202787,es
1017,LA VELOZ SANGÜESINA  S.A.,http://www.nbus.navarra.es,Europe/Madrid,948870209,es
1013,LA ESTELLESA  S.A.,http://www.laestellesa.com,Europe/Madrid,948326509,es
105,AUTOBUSES PARRA  S.L.,http://www.autobusesparra.com,Europe/Madrid,941131372,es
1012,LA BURUNDESA  S.A.,http://www.laburundesa.com,Europe/Madrid,948303505,es
1014,LA MUGUIROARRA  S.L.,http://www.lamuguiroarra.com,Europe/Madrid,948229459,es
107,AUTOMÓVILES UREDERRA  S.L.,http://www.autobusesurederra.com,Europe/Madrid,948546214,es
109,CONDA  S.A.,http://www.conda.es,Europe/Madrid,902422242,es
101,AUTOMÓVILES RÍO ALHAMA  S.A.,http://www.arasa.es,Europe/Madrid,948820282,es
102,ATÍVAR  S.L.,http://www.autocaresartieda.com,Europe/Madrid,948300287,es
1018,LA VIANESA  S.L.,http://www.lavianesa.com,Europe/Madrid,948645231,es
1019,LEIZARÁN MARIEZCURRENA Hnos.  S.L.,http://www.autobusesleizaran.net,Europe/Madrid,948224015,es
1011,LA BAZTANESA  S.A.,http://www.labaztanesa.com,Europe/Madrid,948580129,es
106,AUTOBUSES PINEDO  S.A.,http://www.arriagabus.es,Europe/Madrid,945285000,es
108,CEFERINO APEZETXEA eta SEMEAK  S.L.L.,http://www.nbus.navarra.es,Europe/Madrid,948514037,es
1016,LA TAFALLESA  S.A.,http://www.conda.es,Europe/Madrid,902422242,es
1022,TAXI,http://www.nbus.navarra.es,Europe/Madrid,,es
1015,AUTOBUSES LA PAMPLONESA  S.A.,http://www.lapamplonesa.com,Europe/Madrid,948188881,es
104,AUTOBUSES OLLOQUI  S.L.,http://www.autobusesolloqui.es,Europe/Madrid,948754005,es
1010,ALBERTO ELCARTE  S.L.,http://www.autobuseselcarte.com,Europe/Madrid,948813358,es
